Local Government Areas (LGA),Latitude,Longitude,2018,2019,2020,2021,2022,Total
ARARAT CITY RURAL CITY,-37.283333,142.916672,0,0,0,0,2,2
BALLARAT CITY CITY,-37.549999,143.850006,4,5,4,2,1,16
BAW BAW SHIRE,-37.83333,146.2666656,1,1,1,2,0,5
BAYSIDE CITY,-37.9333296,145.0166666,0,0,0,1,0,1
BENALLA RURAL CITY,-36.551945,145.981674,2,0,1,0,0,3
BOROONDARA CITY,-37.8166634,145.0666664,0,1,5,4,2,12
BRIMBANK CITY,-37.749997,144.7999968,1,0,0,1,1,3
CAMPASPE SHIRE,-36.35666524,144.7336637,0,1,0,2,2,5
CARDINIA SHIRE,-38.083333,145.583331,0,0,0,4,2,6
CASEY CITY,-37.773,145.4,2,3,1,0,0,6
CENTRAL GOLDFIELDS SHIRE,-37.0499998,143.7333304,0,1,0,0,1,2
COLAC OTWAY SHIRE,-38.333332,143.583331,0,0,1,3,2,6
CORANGAMITE SHIRE,-38.233333,143.15,0,2,0,2,0,4
DAREBIN CITY,-37.7333304,145.0166666,1,1,0,2,1,5
EAST GIPPSLAND SHIRE,-37.4833314,148.166666,0,4,2,1,0,7
FRANKSTON CITY,-38.1333328,145.166666,1,1,1,1,1,5
GANNAWARRA SHIRE,-35.7166638,143.916663,1,0,1,0,1,3
GLEN EIRA CITY,-37.7333304,145.0499998,1,0,0,0,0,1
GLENELG SHIRE,-38,141.666664,0,1,0,0,0,1
GOLDEN PLAINS SHIRE,-38.0166666,143.966667,0,0,0,1,0,1
GREATER BENDIGO CITY,-36.749997,144.2833322,1,5,0,0,0,6
GREATER DANDENONG CITY,-38,145.1833326,1,4,5,5,5,20
GREATER GEELONG CITY,-38.1499994,144.3499986,1,3,3,2,3,12
GREATER SHEPPARTON CITY,-36.3833318,145.3999984,2,2,1,0,4,9
HINDMARSH SHIRE,-36.02858,141.712445,0,0,1,0,0,1
HOBSONS BAY CITY,-37.8499966,144.83333,1,1,2,1,0,5
HORSHAM RURAL CITY,-36.71131,142.19981,0,2,0,0,0,2
HUME CITY,-37.59706,144.8235389,1,4,5,6,2,18
INDIGO SHIRE,-36.333332,146.7166638,0,1,1,0,0,2
KINGSTON CITY,-37.9833294,145.0999996,2,2,3,1,1,9
KNOX CITY,-37.8833298,145.2166658,0,2,1,3,0,6
LATROBE CITY,-38.233334,146.399994,1,1,2,2,0,6
LODDON SHIRE,-36.403588,143.8940024,0,0,0,1,0,1
MACEDON RANGES SHIRE,-37.3499986,144.6166642,0,1,0,1,0,2
MANNINGHAM CITY,-37.7666636,145.1999992,1,0,1,0,1,3
MANSFIELD SHIRE,-37.0499998,146.083333,1,0,0,0,0,1
MARIBYRNONG CITY,-37.769193,144.88519,2,0,2,1,0,5
MAROONDAH CITY,-37.809,145.23,0,0,1,0,0,1
MELBOURNE CITY,-37.840935,144.946457,3,1,4,5,5,18
MELTON CITY,-37.6827,144.5741,2,0,1,0,0,3
MILDURA RURAL CITY,-34.797222,141.761111,2,0,1,0,1,4
MITCHELL SHIRE,-37.0999996,145.0666664,2,0,3,0,0,5
MOIRA SHIRE,-36.083333,145.6499974,1,0,1,1,0,3
MONASH CITY,-37.8833298,145.166666,1,5,2,1,3,12
MOONEE VALLEY CITY,-37.7666636,144.916663,0,1,0,2,0,3
MOORABOOL SHIRE,-37.5999976,144.249999,0,1,1,0,2,4
MORELAND CITY,-37.7333304,144.9499962,0,0,2,0,1,3
MORNINGTON PENINSULA SHIRE,-38.3389696,145,1,0,3,1,1,6
MOUNT ALEXANDER SHIRE,-37.0666664,144.2166658,0,0,1,0,0,1
MOYNE SHIRE,-38.18755,142.3719991,0,1,1,1,0,3
MURRINDINDI SHIRE,-37.333332,145.499998,0,1,3,1,1,6
NORTHERN GRAMPIANS SHIRE,-36.6499974,143.0166666,0,0,0,1,0,1
PORT PHILLIP CITY,-37.8499966,144.9666628,1,0,2,0,1,4
PYRENEES SHIRE,-37.32798315,143.4240561,0,1,1,0,0,2
SOUTH GIPPSLAND SHIRE,-38.69907,146.0167691,1,2,0,2,0,5
SOUTHERN GRAMPIANS SHIRE,-37.52826,141.9580509,0,1,0,0,0,1
STONNINGTON CITY,-37.856245,145.029563,0,0,0,0,2,2
STRATHBOGIE SHIRE,-36.749997,145.5666644,0,0,0,0,2,2
SURF COAST SHIRE,-38.2999988,144,0,0,0,1,0,1
SWAN HILL RURAL CITY,-35.333332,143.550003,0,0,0,0,1,1
TOWONG SHIRE,-36.3166654,147.4833314,1,0,0,1,0,2
WANGARATTA RURAL CITY,-36.2,146.233,1,0,0,1,0,2
WARRNAMBOOL CITY,-38.32,142.4666648,0,1,0,1,0,2
WELLINGTON SHIRE,-37.8833298,146.9833294,0,0,0,1,4,5
WEST WIMMERA SHIRE,-36.7166638,141.4666648,0,0,1,0,0,1
WHITEHORSE CITY,-37.83333,145.1499994,1,4,1,2,1,9
WHITTLESEA CITY,-37.5499978,145.083333,2,2,1,3,5,13
WODONGA CITY,-36.116667,146.883333,1,2,0,1,0,4
WYNDHAM CITY,-37.89902878,144.6126404,2,3,1,2,1,9
YARRA CITY,-37.8166634,145,1,3,1,3,1,9
YARRA RANGES SHIRE,-37.7333304,145.6833306,2,0,4,1,2,9
