Gender,Age,2018,2019,2020,2021,2022,Total
Female,Unknown,1,0,0,0,0,1
Female,0 - 14,0,0,0,0,0,0
Female,15 - 24,1,1,0,0,0,2
Female,25 - 34,2,0,1,1,2,6
Female,35 - 44,0,2,2,2,1,7
Female,45 - 54,1,1,1,1,0,4
Female,55 - 64,0,1,1,3,1,6
Female,65 - 74,0,0,0,0,2,2
Female,75 +,0,0,0,0,1,1
Male,Unknown,0,0,1,1,0,2
Male,0 - 14,2,2,0,1,0,5
Male,15 - 24,5,1,2,5,2,15
Male,25 - 34,9,9,12,6,5,41
Male,35 - 44,6,12,11,9,4,42
Male,45 - 54,12,11,12,16,10,61
Male,55 - 64,10,21,18,17,17,83
Male,65 - 74,3,14,7,11,17,52
Male,75 +,1,5,13,8,4,31
