LGA Name,Population,AdultperVenue2022
ALPINE SHIRE,10465,5233
ARARAT RURAL CITY,9868,4934
BALLARAT CITY,89402,6386
BANYULE CITY,104916,11657
BASS COAST SHIRE,30906,6181
BAW BAW SHIRE,43658,10915
BAYSIDE CITY,86049,17210
BENALLA RURAL CITY,11603,3868
BOROONDARA CITY,149258,37315
BRIMBANK CITY,168275,11218
BULOKE SHIRE,4841, -   
CAMPASPE SHIRE,30002,7500
CARDINIA SHIRE,92419,18484
CASEY CITY,284736,21903
CENTRAL GOLDFIELDS SHIRE,10985,5492
COLAC OTWAY SHIRE,17207,3441
CORANGAMITE SHIRE,12465,6232
DAREBIN CITY,139796,11650
EAST GIPPSLAND SHIRE,39311,3931
FRANKSTON CITY,114502,12722
GANNAWARRA SHIRE,8385,8385
GLEN EIRA CITY,125897,12590
GLENELG SHIRE,15841,3960
GOLDEN PLAINS SHIRE,18642, -   
GREATER BENDIGO CITY,95456,8678
GREATER DANDENONG CITY,139108,9936
GREATER GEELONG CITY,217368,8695
GREATER SHEPPARTON CITY,52362,6545
HEPBURN SHIRE,13359,6679
HINDMARSH SHIRE,4439, -   
HOBSONS BAY CITY,78369,8708
HORSHAM RURAL CITY,15509,5170
HUME CITY,189744,13553
INDIGO SHIRE,13451, -   
KINGSTON CITY,134846,8428
KNOX CITY,132338,12031
LATROBE CITY,60553,4658
LODDON SHIRE,6116, -   
MACEDON RANGES SHIRE,40040,13347
MANNINGHAM CITY,106090,15156
MANSFIELD SHIRE,7437,7437
MARIBYRNONG CITY,84688,9410
MAROONDAH CITY,95504,11938
MELBOURNE CITY,190806,19081
MELTON CITY,135252,19322
MILDURA RURAL CITY,44294,5537
MITCHELL SHIRE,39140,9785
MOIRA SHIRE,24179,12090
MONASH CITY,171022,11401
MOONEE VALLEY CITY,109575,9961
MOORABOOL SHIRE,28782,9594
MORELAND CITY,159491,13291
MORNINGTON PENINSULA SHIRE,138058,8121
MOUNT ALEXANDER SHIRE,16616,16616
MOYNE SHIRE,13296, -   
MURRINDINDI SHIRE,12373,12373
NILLUMBIK SHIRE,50553,25277
NORTHERN GRAMPIANS SHIRE,9140,4570
PORT PHILLIP CITY,106100,10610
PYRENEES SHIRE,6104, -   
QUEENSCLIFFE BOROUGH,2589,2589
SOUTH GIPPSLAND SHIRE,23986,5997
SOUTHERN GRAMPIANS SHIRE,12697,6349
STONNINGTON CITY,105541,21108
STRATHBOGIE SHIRE,9054,9054
SURF COAST SHIRE,27418,9139
SWAN HILL RURAL CITY,16109,4027
TOWONG SHIRE,4992,4992
WANGARATTA RURAL CITY,23498,5874
WARRNAMBOOL CITY,28027,3503
WELLINGTON SHIRE,35517,5074
WEST WIMMERA SHIRE,2917, -   
WHITEHORSE CITY,148295,24716
WHITTLESEA CITY,188501,18850
WODONGA CITY,34364,11455
WYNDHAM CITY,220299,16946
YARRA CITY,93073,13296
YARRA RANGES SHIRE,125755,13973
YARRIAMBIACK SHIRE,5172, -   
